Comment,Description,Designator,LibRef,Quantity,Manufacturer,Manufacturer Part Number,Case/Package,Supplier 1,Supplier Part Number 1
"1K","RES SMD 1K OHM 1% 1/8W 0805","R13","AC0805FR-071KL","1","Yageo","AC0805FR-071KL","0805","Digi-Key","YAG3703CT-ND"
"0R","Res Thick Film 0805 0 Ohm Epoxy Pad SMD T/R","R14","RC0805FR-070RL","1","Yageo","RC0805FR-070RL","0805","Digi-Key","311-0.0CRCT-ND"
"22R","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","R16","RC0805JR-0722RL","1","Yageo","RC0805JR-0722RL","0805","Digi-Key","311-22ARCT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R17","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"560R","Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200","R18","AC0805FR-07560RL","1","Yageo","AC0805FR-07560RL","0805","Digi-Key","YAG3743CT-ND"
"560R","Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200","R19","AC0805FR-07560RL","1","Yageo","AC0805FR-07560RL","0805","Digi-Key","YAG3743CT-ND"
"1MR/0805","RES SMD 1M OHM 1% 1/8W 0805","R20","RV0805FR-071ML","1","Yageo","RV0805FR-071ML","0805","Digi-Key","311-1MNGCT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R21","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R22","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R23","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R24","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"560R","Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200","R25","AC0805FR-07560RL","1","Yageo","AC0805FR-07560RL","0805","Digi-Key","YAG3743CT-ND"
"22R","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","R26","RC0805JR-0722RL","1","Yageo","RC0805JR-0722RL","0805","Digi-Key","311-22ARCT-ND"
"22R","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","R27","RC0805JR-0722RL","1","Yageo","RC0805JR-0722RL","0805","Digi-Key","311-22ARCT-ND"
"22R","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","R28","RC0805JR-0722RL","1","Yageo","RC0805JR-0722RL","0805","Digi-Key","311-22ARCT-ND"
"28-DIP Socket","CONN IC DIP SOCKET 28POS TIN","SCK_FOR_U1","4828-3004-CP","1","3M","4828-3004-CP","","Digi-Key","3M5480-ND"
"1825910-6","6X6, H5,  160G TAC.SWITCH","SW1","1825910-6","1","TE Connectivity Alcoswitch","1825910-6","","Digi-Key","450-1650-ND"
"1825910-6","6X6, H5,  160G TAC.SWITCH","SW2","1825910-6","1","TE Connectivity Alcoswitch","1825910-6","","Digi-Key","450-1650-ND"
"ATMEGA16U2-AU","MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32","U1","ATMEGA16U2-AU","1","Microchip / Atmel","ATMEGA16U2-AU","A","Arrow Electronics","ATMEGA16U2-AU"
"TL1963A-33DCQT","Single Output LDO, 1.5A, 3.3V Fast Trans","U2","TL1963A-33DCQT","1","Texas Instruments","TL1963A-33DCQT","SOT-223","Digi-Key","296-32342-1-ND"
"ATMEGA328P-PU","IC MCU 8BIT 32KB FLASH 28DIP","U3","ATMEGA328P-PU","1","Microchip / Atmel","ATMEGA328P-PU","PDIP","Allied Electronics","70332157"
"SN74AUC1G08DBVR","LOGIC, 74AUC1G, AND GATE, SOT23-5","U4","SN74AUC1G08DBVR","1","Texas Instruments","SN74AUC1G08DBVR","SOT-23","Digi-Key","296-13170-1-ND"
"SN74AUC1G08DBVR","LOGIC, 74AUC1G, AND GATE, SOT23-5","U5","SN74AUC1G08DBVR","1","Texas Instruments","SN74AUC1G08DBVR","SOT-23","Digi-Key","296-13170-1-ND"
"SN74AUC1G08DBVR","LOGIC, 74AUC1G, AND GATE, SOT23-5","U6","SN74AUC1G08DBVR","1","Texas Instruments","SN74AUC1G08DBVR","SOT-23","Digi-Key","296-13170-1-ND"
"SN74AUC1G08DBVR","LOGIC, 74AUC1G, AND GATE, SOT23-5","U7","SN74AUC1G08DBVR","1","Texas Instruments","SN74AUC1G08DBVR","SOT-23","Digi-Key","296-13170-1-ND"
"ABM11W-16.0000MHZ-8-B1U-T3","Iot Optimized 16MHZ 8PF Crystal","Y1","ABM11W-16.0000MHZ-8-B1U-T3","1","Abracon","ABM11W-16.0000MHZ-8-B1U-T3","","Digi-Key","535-13813-1-ND"
"ABM11W-16.0000MHZ-8-B1U-T3","Iot Optimized 16MHZ 8PF Crystal","Y2","ABM11W-16.0000MHZ-8-B1U-T3","1","Abracon","ABM11W-16.0000MHZ-8-B1U-T3","","Digi-Key","535-13813-1-ND"
"CGA0603MLC-05E","ESD Suppressor TVS Bi-Dir 5V Automotive 2-Pin Case 0603(1608Metric) T/R","Z1","CGA0603MLC-05E","1","Bourns","CGA0603MLC-05E","0603","Digi-Key","CGA0603MLC-05ECT-ND"
"CGA0603MLC-05E","ESD Suppressor TVS Bi-Dir 5V Automotive 2-Pin Case 0603(1608Metric) T/R","Z2","CGA0603MLC-05E","1","Bourns","CGA0603MLC-05E","0603","Digi-Key","CGA0603MLC-05ECT-ND"
